Name,Symbol,Current Price
Activision Blizzard,ATVI,Communication Services
Adobe Inc.,ADBE,Information Technology
ADP,ADP,Information Technology
Airbnb,ABNB,Consumer Discretionary
Align Technology,ALGN,Health Care
Alphabet Inc. (Class A),GOOGL,Communication Services
Alphabet Inc. (Class C),GOOG,Communication Services
Amazon,AMZN,Consumer Discretionary
Advanced Micro Devices Inc.,AMD,Information Technology
American Electric Power,AEP,Utilities
Amgen,AMGN,Health Care
Analog Devices,ADI,Information Technology
Ansys,ANSS,Information Technology
Apple Inc.,AAPL,Information Technology
Applied Materials,AMAT,Information Technology
ASML Holding,ASML,Information Technology
AstraZeneca,AZN,Health Care
Atlassian,TEAM,Information Technology
Autodesk,ADSK,Information Technology
Baker Hughes,BKR,Energy
Biogen,BIIB,Health Care
Booking Holdings,BKNG,Consumer Discretionary
Broadcom Inc.,AVGO,Information Technology
Cadence Design Systems,CDNS,Information Technology
Charter Communications,CHTR,Communication Services
Cintas,CTAS,Industrials
Cisco,CSCO,Information Technology
Cognizant,CTSH,Information Technology
Comcast,CMCSA,Communication Services
Constellation Energy,CEG,Utilities
Copart,CPRT,Industrials
CoStar Group,CSGP,Industrials
Costco,COST,Consumer Staples
CrowdStrike,CRWD,Information Technology
CSX Corporation,CSX,Industrials
Datadog,DDOG,Information Technology
DexCom,DXCM,Health Care
Diamondback Energy,FANG,Energy
Dollar Tree,DLTR,Consumer Discretionary
eBay,EBAY,Consumer Discretionary
Electronic Arts,EA,Communication Services
Enphase Energy,ENPH,Information Technology
Exelon,EXC,Utilities
Fastenal,FAST,Industrials
Fiserv,FISV,Information Technology
Fortinet,FTNT,Information Technology
Gilead Sciences,GILD,Health Care
GlobalFoundries,GFS,Information Technology
Honeywell,HON,Industrials
Idexx Laboratories,IDXX,Health Care
"Illumina, Inc.",ILMN,Health Care
Intel,INTC,Information Technology
Intuit,INTU,Information Technology
Intuitive Surgical,ISRG,Health Care
JD.com,JD,Consumer Discretionary
Keurig Dr Pepper,KDP,Consumer Staples
KLA Corporation,KLAC,Information Technology
Kraft Heinz,KHC,Consumer Staples
Lam Research,LRCX,Information Technology
Lucid Motors,LCID,Consumer Discretionary
Lululemon,LULU,Consumer Discretionary
Marriott International,MAR,Consumer Discretionary
Marvell Technology,MRVL,Information Technology
MercadoLibre,MELI,Consumer Discretionary
Meta Platforms,META,Communication Services
Microchip Technology,MCHP,Information Technology
Micron Technology,MU,Information Technology
Microsoft,MSFT,Information Technology
Moderna,MRNA,Health Care
